episode,reward,steps,epsilon,success
78,-29.0,22,0.6763948591909945,1
79,-131.0,52,0.6730128848950395,1
80,-70.0,27,0.6696478204705644,1
81,-18.0,20,0.6662995813682115,1
82,-1.0,12,0.6629680834613705,1
83,-8.0,10,0.6596532430440636,1
84,-20.0,13,0.6563549768288433,1
85,-27.0,20,0.653073201944699,1
86,-9.0,11,0.6498078359349755,1
87,-12.0,14,0.6465587967553006,1
88,-46.0,21,0.6433260027715241,1
89,-14.0,16,0.6401093727576664,1
90,-18.0,20,0.6369088258938781,1
91,-35.0,19,0.6337242817644086,1
92,-6.0,17,0.6305556603555866,1
93,-21.0,32,0.6274028820538087,1
94,1.0,10,0.6242658676435396,1
95,-23.0,16,0.6211445383053219,1
96,-13.0,15,0.6180388156137953,1
97,0.0,11,0.6149486215357263,1
98,1.0,10,0.6118738784280476,1
99,-9.0,11,0.6088145090359074,1
100,-9.0,11,0.6057704364907278,1
101,5.0,6,0.6027415843082742,1
102,-43.0,45,0.5997278763867329,1
103,1.0,10,0.5967292370047992,1
104,1.0,10,0.5937455908197752,1
105,-1.0,12,0.5907768628656763,1
106,-7.0,18,0.5878229785513479,1
107,4.0,7,0.5848838636585911,1
108,-34.0,18,0.5819594443402982,1
109,3.0,8,0.5790496471185967,1
110,-15.0,17,0.5761543988830038,1
111,1.0,10,0.5732736268885887,1
112,-15.0,17,0.5704072587541458,1
113,3.0,8,0.567555222460375,1
114,-3.0,14,0.5647174463480732,1
115,-20.0,13,0.5618938591163328,1
116,-20.0,13,0.5590843898207511,1
117,-20.0,13,0.5562889678716474,1
118,-38.0,13,0.5535075230322891,1
119,4.0,7,0.5507399854171277,1
120,-5.0,7,0.547986285490042,1
121,-20.0,13,0.5452463540625918,1
122,-13.0,15,0.5425201222922789,1
123,-7.0,18,0.5398075216808175,1
124,2.0,9,0.5371084840724134,1
125,-12.0,14,0.5344229416520513,1
126,-24.0,17,0.531750826943791,1
127,-3.0,14,0.5290920728090721,1
128,-13.0,15,0.5264466124450268,1
129,3.0,8,0.5238143793828016,1
130,-14.0,16,0.5211953074858876,1
131,-11.0,13,0.5185893309484582,1
132,-39.0,14,0.5159963842937159,1
133,-3.0,14,0.5134164023722473,1
134,-36.0,20,0.510849320360386,1
135,-6.0,17,0.5082950737585841,1
136,5.0,6,0.5057535983897912,1
137,3.0,8,0.5032248303978422,1
138,-22.0,24,0.500708706245853,1
139,-5.0,7,0.4982051627146237,1
140,-21.0,23,0.49571413690105054,1
141,-14.0,16,0.4932355662165453,1
142,-5.0,7,0.4907693883854626,1
143,-9.0,11,0.4883155414435353,1
144,-2.0,13,0.4858739637363176,1
145,-18.0,11,0.483444593917636,1
146,5.0,6,0.4810273709480478,1
147,-26.0,19,0.47862223409330756,1
148,4.0,7,0.47622912292284103,1
149,-21.0,14,0.4738479773082268,1
150,3.0,8,0.47147873742168567,1
151,3.0,8,0.46912134373457726,1
152,-70.0,27,0.46677573701590436,1
153,-2.0,13,0.46444185833082485,1
154,-14.0,16,0.46211964903917074,1
155,1.0,10,0.4598090507939749,1
156,-6.0,8,0.457510005540005,1
157,4.0,7,0.45522245551230495,1
158,1.0,10,0.4529463432347434,1
159,2.0,9,0.4506816115185697,1
160,2.0,9,0.4484282034609769,1
161,4.0,7,0.446186062443672,1
162,-17.0,10,0.4439551321314536,1
163,-9.0,11,0.4417353564707963,1
164,-6.0,8,0.43952667968844233,1
165,-6.0,8,0.43732904629000013,1
166,-6.0,8,0.4351424010585501,1
